source_table,mainline_mileage,interchange_mileage,point_id,date_str,increment_mm,rate_mm_d,cumulative_mm
Table 3,K22+750,,C53,2022.5.31,-3.2,-0.09,-10.3
Table 3,K22+590,,C54,2022.4.27,-1.1,-0.05,0.5
Table 3,K22+590,,C54,2022.5.31,-2.5,-0.07,-2.0
Table 3,JPK20+650,,C55,2022.4.27,1.0,0.05,4.2
Table 3,JPK20+650,,C55,2022.5.31,-2.0,-0.06,2.2
Table 3,K22+520,,C56,2022.4.27,-2.9,-0.14,-6.6
Table 3,K22+520,,C56,2022.5.31,-2.1,-0.06,-8.6
Table 3,K22+450,,C57,2022.4.27,0.9,0.04,-0.3
Table 3,K22+450,,C57,2022.5.31,-2.1,-0.06,-2.4
Table 3,K22+400,,C58,2022.4.27,1.1,0.05,4.5
Table 3,K22+400,,C58,2022.5.31,1.3,0.04,5.8
Table 3,K22+400,,C59,2022.4.27,1.0,0.05,3.2
Table 3,K22+400,,C59,2022.5.31,-2.3,-0.07,0.9
Table 3,K22+320,GK0+350,C60,2022.4.27,0.8,0.04,2.6
Table 3,K22+320,GK0+350,C60,2022.5.31,4.0,0.12,6.6
Table 3,,GK0+220,C61,2022.4.27,1.1,0.05,3.2
Table 3,,GK0+220,C61,2022.5.31,1.0,0.03,4.2
Table 3,,GK0+180,C62,2022.4.27,0.9,0.04,5.5
Table 3,,GK0+180,C62,2022.5.31,-1.1,-0.03,4.4
Table 3,JPK20+080,EK0+670,C63,2022.4.27,1.2,0.06,3.1
Table 3,JPK20+080,EK0+670,C63,2022.5.31,3.3,0.1,6.4
Table 3,JPK20+190,EK0+780,C64,2022.4.27,0.8,0.04,2.4
Table 3,JPK20+190,EK0+780,C64,2022.5.31,-1.6,-0.05,0.8
Table 3,JPK20+120,EK0+830,C65,2022.4.27,0.9,0.04,-3.1
Table 3,JPK20+120,EK0+830,C65,2022.5.31,-1.3,-0.04,-4.3
Table 3,JPK19+990,,C66,2022.4.27,0.9,0.05,2.1
Table 3,JPK19+990,,C66,2022.5.31,-0.3,-0.01,1.8
Table 3,JPK19+940,,C67,2022.4.27,1.0,0.05,-0.6
Table 3,JPK19+940,,C67,2022.5.31,2.8,0.08,2.2
Table 3,JPK19+880,,C68,2022.4.27,1.1,0.05,-0.7
Table 3,JPK19+880,,C68,2022.5.31,0.3,0.01,-0.4
Table 3,JPK19+840,,C69,2022.4.27,0.9,0.04,2.5
Table 3,JPK19+840,,C69,2022.5.31,-1.1,-0.03,1.4
Table 3,JPK19+780,,C70,2022.4.27,1.0,0.05,-0.7
Table 3,JPK19+780,,C70,2022.5.31,-1.9,-0.06,-2.5
Table 3,JPK19+730,,C71,2022.4.27,-3.8,-0.18,-8.1
Table 3,JPK19+730,,C71,2022.5.31,-2.7,-0.08,-10.8
Table 3,JPK20+100,BK0+140,C72,2022.4.27,0.8,0.04,2.9
Table 3,JPK20+100,BK0+140,C72,2022.5.31,1.6,0.05,4.4
Table 3,JPK20+160,BK0+200,C73,2022.4.27,1.1,0.05,0.0
Table 3,JPK20+160,BK0+200,C73,2022.5.31,2.4,0.07,2.4
Table 3,JPK20+260,,C74,2022.4.27,1.1,0.05,0.8
Table 3,JPK20+260,,C74,2022.5.31,-1.5,-0.04,-0.7
Table 3,JPK20+300,,C75,2022.4.27,0.8,0.04,-0.1
Table 3,JPK20+300,,C75,2022.5.31,-2.5,-0.07,-2.5
Table 3,JPK20+390,,C76,2022.4.27,0.9,0.04,-3.1
Table 3,JPK20+390,,C76,2022.5.31,-2.2,-0.07,-5.4
Table 3,JPK20+400,AK0+450,C77,2022.4.27,0.9,0.04,0.7
Table 3,JPK20+400,AK0+450,C77,2022.5.31,-2.6,-0.08,-1.9
Table 3,,AK0+505,C78,2022.4.27,1.0,0.05,2.2
Table 3,,AK0+505,C78,2022.5.31,-3.3,-0.1,-1.1
Table 3,,AK0+560,C79,2022.4.27,-1.1,-0.05,-1.1
Table 3,,AK0+560,C79,2022.5.31,-1.1,-0.03,-2.2
Table 3,JPK21+340,,C80,2022.4.27,-1.5,-0.07,-3.7
Table 3,JPK21+340,,C80,2022.5.31,-2.1,-0.06,-5.8
Table 3,JPK21+390,,C81,2022.4.27,-0.9,-0.04,-7.9
Table 3,JPK21+390,,C81,2022.5.31,-1.7,-0.05,-9.6
Table 4,K21+100,,C1,2022.6.24,-0.8,-0.03,2.0
Table 4,K21+100,,C1,2022.7.16,1.2,0.05,3.2
Table 4,K21+155,,C2,2022.6.24,2.0,0.08,-0.2
Table 4,K21+155,,C2,2022.7.16,-0.9,-0.04,-1.1
Table 4,K21+155,,C3,2022.6.24,-1.0,-0.04,-3.6
Table 4,K21+155,,C3,2022.7.16,1.1,0.05,-2.5
Table 4,K21+400,,C4,2022.6.24,-1.7,-0.07,-6.1
Table 4,K21+400,,C4,2022.7.16,-1.8,-0.08,-8.0
Table 4,K21+470,,C5,2022.6.24,-0.6,-0.02,-6.1
Table 4,K21+470,,C5,2022.7.16,-1.1,-0.05,-7.2
Table 4,K21+470,,C6,2022.6.24,1.9,0.08,2.8
Table 4,K21+470,,C6,2022.7.16,0.4,0.02,3.2
Table 4,K21+845,,C7,2022.6.24,-1.5,-0.06,-10.2
Table 4,K21+845,,C7,2022.7.16,1.0,0.05,-9.2
Table 4,K21+885,,C8,2022.6.24,-1.4,-0.06,-5.7
Table 4,K21+885,,C8,2022.7.16,-0.5,-0.02,-6.2
Table 4,K21+935,,C9,2022.6.24,-2.1,-0.09,-1.2
Table 4,K21+935,,C9,2022.7.16,0.5,0.02,-0.7
Table 4,K22+000,,C10,2022.6.24,-0.8,-0.03,2.5
Table 4,K22+000,,C10,2022.7.16,-1.1,-0.05,1.4
Table 4,K22+050,EK0+220,C11,2022.6.24,-1.8,-0.08,-3.4
Table 4,K22+050,EK0+220,C11,2022.7.16,-1.1,-0.05,-4.5
Table 4,K22+150,EK0+240,C12,2022.6.24,-0.4,-0.02,0.1
Table 4,K22+150,EK0+240,C12,2022.7.16,-1.2,-0.05,-1.1
Table 4,K22+080,AK0+310,C13,2022.6.24,1.8,0.08,4.3
Table 4,K22+080,AK0+310,C13,2022.7.16,-1.1,-0.05,3.1
Table 4,K22+080,AK1+485,C14,2022.6.24,0.3,0.01,3.1
Table 4,K22+080,AK1+485,C14,2022.7.16,-0.5,-0.02,2.6
Table 4,K22+050,,C15,2022.6.24,0.7,0.03,1.5
Table 4,K22+050,,C15,2022.7.16,0.5,0.02,2.0
Table 4,K22+200,,C16,2022.6.24,-1.2,-0.05,-3.9
Table 4,K22+200,,C16,2022.7.16,0.7,0.03,-3.2
Table 4,K22+230,AK1+320,C17,2022.6.24,1.8,0.07,3.7
Table 4,K22+230,AK1+320,C17,2022.7.16,-1.4,-0.06,2.3
Table 4,K22+280,,C18,2022.6.24,-1.7,-0.07,0.2
Table 4,K22+280,,C18,2022.7.16,-1.7,-0.08,-1.5
Table 4,K22+320,,C19,2022.6.24,-1.3,-0.05,4.3
Table 4,K22+320,,C19,2022.7.16,-1.3,-0.06,3.0
Table 4,K22+320,HK1+005,C20,2022.6.24,-0.3,-0.01,1.3
Table 4,K22+320,HK1+005,C20,2022.7.16,-0.6,-0.03,0.6
Table 4,,HK1+110,C21,2022.6.24,0.5,0.02,-1.2
Table 4,,HK1+110,C21,2022.7.16,1.5,0.07,0.3
Table 4,,AK1+105,C22,2022.6.24,0.3,0.01,-2.5
Table 4,,AK1+105,C22,2022.7.16,1.4,0.06,-1.1
Table 4,,HK1+205,C23,2022.6.24,-1.1,-0.04,3.5
Table 4,,HK1+205,C23,2022.7.16,1.0,0.04,4.5
Table 4,JPK20+790,,C24,2022.6.24,0.7,0.03,4.8
Table 4,JPK20+790,,C24,2022.7.16,-1.0,-0.04,3.8
Table 4,JPK20+850,,C25,2022.6.24,-1.7,-0.07,3.8
Table 4,JPK20+850,,C25,2022.7.16,0.2,0.01,4.0
Table 4,JPK20+890,,C26,2022.6.24,-2.0,-0.08,1.8
Table 4,JPK20+890,,C26,2022.7.16,-0.9,-0.04,0.9
Table 4,JPK20+920,CK0+620,C27,2022.6.24,-0.2,-0.01,8.5
Table 4,JPK20+920,CK0+620,C27,2022.7.16,-1.1,-0.05,7.4
Table 4,JPK21+060,CK0+670,C28,2022.6.24,1.0,0.04,4.7
Table 4,JPK21+060,CK0+670,C28,2022.7.16,-0.1,0.0,4.7
Table 4,JPK21+010,,C29,2022.6.24,0.6,0.03,5.6
Table 4,JPK21+010,,C29,2022.7.16,-1.2,-0.05,4.4
Table 4,JPK21+060,DK0+170,C30,2022.6.24,0.4,0.02,4.6
Table 4,JPK21+060,DK0+170,C30,2022.7.16,-0.1,0.0,4.5
Table 4,JPK21+060,,C31,2022.6.24,0.2,0.01,2.1
Table 4,JPK21+060,,C31,2022.7.16,-0.7,-0.03,1.4
Table 4,JPK21+140,,C32,2022.6.24,0.3,0.01,5.5
Table 4,JPK21+140,,C32,2022.7.16,1.5,0.07,7.1
Table 4,JPK21+180,,C33,2022.6.24,0.8,0.03,5.0
Table 4,JPK21+180,,C33,2022.7.16,1.9,0.09,7.0
Table 4,JPK21+220,,C34,2022.6.24,-0.8,-0.03,-3.0
Table 4,JPK21+220,,C34,2022.7.16,1.6,0.07,-1.4
Table 4,,CK0+560,C35,2022.6.24,-0.6,-0.02,9.6
Table 4,,CK0+560,C35,2022.7.16,1.4,0.06,11.0
Table 4,,CK0+370,C36,2022.6.24,-0.9,-0.04,-4.1
Table 4,,CK0+370,C36,2022.7.16,-0.9,-0.04,-5.0
Table 4,,CK0+290,C37,2022.6.24,1.6,0.07,-1.6
Table 4,,CK0+290,C37,2022.7.16,-2.0,-0.09,-3.6
Table 4,K22+890,,C38,2022.6.24,-1.3,-0.06,-7.3
Table 4,K22+890,,C38,2022.7.16,-0.5,-0.02,-7.8
Table 4,K23+000,,C39,2022.6.24,-2.1,-0.09,-1.3
Table 4,K23+000,,C39,2022.7.16,0.2,0.01,-1.1
Table 4,K23+050,,C40,2022.6.24,-0.8,-0.03,2.1
Table 4,K23+050,,C40,2022.7.16,-0.1,0.0,2.0
Table 4,K23+080,,C41,2022.6.24,-0.7,-0.03,-1.4
Table 4,K23+080,,C41,2022.7.16,-1.8,-0.08,-3.1
Table 4,K23+120,,C42,2022.6.24,0.8,0.03,-4.7
Table 4,K23+120,,C42,2022.7.16,-1.2,-0.05,-5.9
Table 4,K23+190,,C43,2022.6.24,-1.2,-0.05,1.3
Table 4,K23+190,,C43,2022.7.16,1.4,0.07,2.7
Table 4,K23+260,,C44,2022.6.24,-0.4,-0.02,1.5
Table 4,K23+260,,C44,2022.7.16,1.2,0.05,2.7
Table 4,K23+320,,C45,2022.6.24,-1.6,-0.07,1.4
Table 4,K23+320,,C45,2022.7.16,-0.7,-0.03,0.7
Table 4,K23+400,,C46,2022.6.24,0.4,0.02,-1.6
Table 4,K23+400,,C46,2022.7.16,-1.6,-0.07,-3.2
Table 4,K23+450,,C47,2022.6.24,1.4,0.06,1.9
Table 4,K23+450,,C47,2022.7.16,-0.1,-0.01,1.7
Table 4,K23+500,,C48,2022.6.24,1.2,0.05,-0.8
Table 4,K23+500,,C48,2022.7.16,-2.0,-0.09,-2.8
Table 4,K22+840,,C49,2022.6.24,1.7,0.07,-3.6
Table 4,K22+840,,C49,2022.7.16,1.2,0.06,-2.3
Table 4,K22+800,,C50,2022.6.24,1.9,0.08,-4.4
Table 4,K22+800,,C50,2022.7.16,-1.8,-0.08,-6.2
Table 4,K22+790,,C51,2022.6.24,1.7,0.07,-8.5
Table 4,K22+790,,C51,2022.7.16,0.6,0.03,-8.0
Table 4,K22+750,BK0+270,C52,2022.6.24,2.1,0.09,3.8
Table 4,K22+750,BK0+270,C52,2022.7.16,-1.3,-0.06,2.5
Table 4,K22+750,,C53,2022.6.24,-1.5,-0.06,-11.8
Table 4,K22+750,,C53,2022.7.16,-0.4,-0.02,-12.2
Table 4,K22+590,,C54,2022.6.24,-2.2,-0.09,-4.2
Table 4,K22+590,,C54,2022.7.16,1.4,0.06,-2.8
Table 4,JPK20+650,,C55,2022.6.24,-0.1,-0.01,2.1
Table 4,JPK20+650,,C55,2022.7.16,-0.2,-0.01,1.9
Table 4,K22+520,,C56,2022.6.24,1.2,0.05,-7.4
Table 4,K22+520,,C56,2022.7.16,0.6,0.03,-6.8
Table 4,K22+450,,C57,2022.6.24,0.7,0.03,-1.7
Table 4,K22+450,,C57,2022.7.16,-0.5,-0.02,-2.2
Table 4,K22+400,,C58,2022.6.24,1.6,0.06,7.4
Table 4,K22+400,,C58,2022.7.16,0.7,0.03,8.1
Table 4,K22+400,,C59,2022.6.24,-1.3,-0.05,-0.4
Table 4,K22+400,,C59,2022.7.16,2.0,0.09,1.6
Table 4,K22+320,GK0+350,C60,2022.6.24,0.0,0.0,6.6
Table 4,K22+320,GK0+350,C60,2022.7.16,2.1,0.1,8.7
Table 4,,GK0+220,C61,2022.6.24,-0.3,-0.01,3.9
Table 4,,GK0+220,C61,2022.7.16,-1.1,-0.05,2.8
Table 4,,GK0+180,C62,2022.6.24,2.0,0.08,6.4
Table 4,,GK0+180,C62,2022.7.16,-1.2,-0.05,5.2
Table 4,JPK20+080,EK0+670,C63,2022.6.24,1.8,0.07,8.2
Table 4,JPK20+080,EK0+670,C63,2022.7.16,-2.2,-0.1,6.0
Table 4,JPK20+190,EK0+780,C64,2022.6.24,-0.7,-0.03,0.0
Table 4,JPK20+190,EK0+780,C64,2022.7.16,-1.6,-0.07,-1.6
Table 4,JPK20+120,EK0+830,C65,2022.6.24,-0.8,-0.03,-5.2
Table 4,JPK20+120,EK0+830,C65,2022.7.16,0.2,0.01,-5.0
Table 4,JPK19+990,,C66,2022.6.24,1.3,0.05,3.1
Table 4,JPK19+990,,C66,2022.7.16,0.9,0.04,3.9
Table 4,JPK19+940,,C67,2022.6.24,0.0,0.0,2.2
Table 4,JPK19+940,,C67,2022.7.16,1.3,0.06,3.5
Table 4,JPK19+880,,C68,2022.6.24,-2.1,-0.09,-2.4
Table 4,JPK19+880,,C68,2022.7.16,2.0,0.09,-0.4
Table 4,JPK19+840,,C69,2022.6.24,-0.7,-0.03,0.7
Table 4,JPK19+840,,C69,2022.7.16,-1.8,-0.08,-1.1
Table 4,JPK19+780,,C70,2022.6.24,-0.5,-0.02,-3.1
Table 4,JPK19+780,,C70,2022.7.16,-1.0,-0.05,-4.1
Table 4,JPK19+730,,C71,2022.6.24,-1.2,-0.05,-11.9
Table 4,JPK19+730,,C71,2022.7.16,-0.7,-0.03,-12.7
Table 4,JPK20+100,BK0+140,C72,2022.6.24,0.0,0.0,4.4
Table 4,JPK20+100,BK0+140,C72,2022.7.16,-2.0,-0.09,2.4
Table 4,JPK20+160,BK0+200,C73,2022.6.24,2.0,0.08,4.3
Table 4,JPK20+160,BK0+200,C73,2022.7.16,1.7,0.08,6.1
Table 4,JPK20+260,,C74,2022.6.24,-1.4,-0.06,-2.0
Table 4,JPK20+260,,C74,2022.7.16,2.0,0.09,0.0
Table 4,JPK20+300,,C75,2022.6.24,-1.7,-0.07,-4.2
Table 4,JPK20+300,,C75,2022.7.16,-0.1,-0.01,-4.4
Table 4,JPK20+390,,C76,2022.6.24,-2.0,-0.08,-7.3
Table 4,JPK20+390,,C76,2022.7.16,-0.8,-0.04,-8.1
Table 4,JPK20+400,AK0+450,C77,2022.6.24,-1.2,-0.05,-3.0
Table 4,JPK20+400,AK0+450,C77,2022.7.16,-0.4,-0.02,-3.4
Table 4,,AK0+505,C78,2022.6.24,-1.3,-0.05,-2.4
Table 4,,AK0+505,C78,2022.7.16,-0.6,-0.03,-3.0
Table 4,,AK0+560,C79,2022.6.24,0.9,0.04,-1.3
Table 4,,AK0+560,C79,2022.7.16,-1.6,-0.07,-2.9
Table 4,JPK21+340,,C80,2022.6.24,0.7,0.03,-5.1
Table 4,JPK21+340,,C80,2022.7.16,1.3,0.06,-3.8
Table 4,JPK21+390,,C81,2022.6.24,1.1,0.04,-8.6
Table 4,JPK21+390,,C81,2022.7.16,-1.4,-0.06,-10.0
