point_id,mileage,zone,session,date,increment_mm,rate,cumulative_mm,replicate,cum_recon,single_lag_1,cum_lag_1,single_lag_2,cum_lag_2,single_lag_3,cum_lag_3,single_lag_4,cum_lag_4,single_lag_5,cum_lag_5,roll_mean_3,roll_std_3,diff_1,days_next,days_prev,timestep,has_goaf,seam_thickness_m,mining_depth_m,depth_thickness_ratio,dip_angle_deg,recovery_rate,years_since_abandonment,room_width_m,pillar_width_m,grouting,mining_method,overburden_lithology,coal_mine,stability_class,geo_note
C22,,RAMP,8,2022-07-16,1.4,0.06,-1.1,1,-1.1000000000000003,0.3,-2.5000000000000004,-2.6,-2.8000000000000003,-0.8,-0.20000000000000018,1.9,0.5999999999999999,-1.1,-1.3,-1.0333333333333334,1.46401275039985,2.9,22.0,24.0,8,1.0,1.24,215.0,162.5,11.0,0.75,6.9,0.0,0.0,0.0,shortwall,medium_hard,Interchange(Wanghe/Mihe/Shuanglou),basic_stable,
C23,,RAMP,6,2022-05-31,-0.1,0.0,4.6,1,4.6000000000000005,1.2,4.7,0.1,3.5,-1.2,3.4000000000000004,1.0,4.6,3.6,3.6,0.03333333333333336,1.2013880860626733,1.0999999999999999,34.0,21.0,6,1.0,1.24,215.0,162.5,11.0,0.75,6.9,0.0,0.0,0.0,shortwall,medium_hard,Interchange(Wanghe/Mihe/Shuanglou),basic_stable,
C23,,RAMP,7,2022-06-24,-1.1,-0.04,3.5,1,3.5,-0.1,4.6000000000000005,1.2,4.7,0.1,3.5,-1.2,3.4000000000000004,1.0,4.6,0.3999999999999999,0.7000000000000003,-1.3,24.0,34.0,7,1.0,1.24,215.0,162.5,11.0,0.75,6.9,0.0,0.0,0.0,shortwall,medium_hard,Interchange(Wanghe/Mihe/Shuanglou),basic_stable,
C23,,RAMP,8,2022-07-16,1.0,0.04,4.5,1,4.5,-1.1,3.5,-0.1,4.6000000000000005,1.2,4.7,0.1,3.5,-1.2,3.4000000000000004,-1.4802973661668753e-16,1.1532562594670797,-1.0,22.0,24.0,8,1.0,1.24,215.0,162.5,11.0,0.75,6.9,0.0,0.0,0.0,shortwall,medium_hard,Interchange(Wanghe/Mihe/Shuanglou),basic_stable,
C24,JPK20+790,JPK,6,2022-05-31,-0.6,-0.02,4.0,1,4.0,1.1,4.6,0.0,3.5,-1.0,3.5,1.9,4.5,2.6,2.6,0.03333333333333336,1.0503967504392493,1.1,34.0,21.0,6,1.0,1.24,215.0,162.5,11.0,0.75,6.9,0.0,0.0,0.0,shortwall,medium_hard,Mihe,basic_stable,
C24,JPK20+790,JPK,7,2022-06-24,0.7,0.03,4.8,1,4.7,-0.6,4.0,1.1,4.6,0.0,3.5,-1.0,3.5,1.9,4.5,0.1666666666666667,0.8621678104251714,-1.7000000000000002,24.0,34.0,7,1.0,1.24,215.0,162.5,11.0,0.75,6.9,0.0,0.0,0.0,shortwall,medium_hard,Mihe,basic_stable,
C24,JPK20+790,JPK,8,2022-07-16,-1.0,-0.04,3.8,1,3.7,0.7,4.7,-0.6,4.0,1.1,4.6,0.0,3.5,-1.0,3.5,0.4000000000000001,0.8888194417315594,1.2999999999999998,22.0,24.0,8,1.0,1.24,215.0,162.5,11.0,0.75,6.9,0.0,0.0,0.0,shortwall,medium_hard,Mihe,basic_stable,
C25,JPK20+850,JPK,6,2022-05-31,-2.8,-0.08,5.5,1,5.6000000000000005,2.1,8.4,1.6,6.3,0.0,4.7,1.7,4.7,3.0,3.0,1.2333333333333334,1.0969655114602892,0.5,34.0,21.0,6,1.0,1.24,215.0,162.5,11.0,0.75,6.9,0.0,0.0,0.0,shortwall,medium_hard,Mihe,basic_stable,
C25,JPK20+850,JPK,7,2022-06-24,-1.7,-0.07,3.8,1,3.9000000000000004,-2.8,5.6000000000000005,2.1,8.4,1.6,6.3,0.0,4.7,1.7,4.7,0.3000000000000001,2.696293752542553,-4.9,24.0,34.0,7,1.0,1.24,215.0,162.5,11.0,0.75,6.9,0.0,0.0,0.0,shortwall,medium_hard,Mihe,basic_stable,
C25,JPK20+850,JPK,8,2022-07-16,0.2,0.01,4.0,1,4.1000000000000005,-1.7,3.9000000000000004,-2.8,5.6000000000000005,2.1,8.4,1.6,6.3,0.0,4.7,-0.7999999999999998,2.570992026436489,1.0999999999999999,22.0,24.0,8,1.0,1.24,215.0,162.5,11.0,0.75,6.9,0.0,0.0,0.0,shortwall,medium_hard,Mihe,basic_stable,
