model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
XGBoostDense_BAG_L1_FULL,-0.05639622500259067,,r2,0.0031783580780029297,,0.01004934310913086,0.0031783580780029297,,0.01004934310913086,1,True,50
LightGBMXT_BAG_L1_FULL,-0.06125625451032568,,r2,0.0015301704406738281,,0.04541444778442383,0.0015301704406738281,,0.04541444778442383,1,True,41
XGBoost_BAG_L1_FULL,-0.07727895499725368,,r2,0.024205923080444336,,0.007827281951904297,0.024205923080444336,,0.007827281951904297,1,True,49
WeightedEnsemble_L2_FULL,-0.0910534638024143,,r2,0.08234834671020508,,0.5674169063568115,0.009244441986083984,,0.03586435317993164,2,True,52
XGBoostDense_BAG_L2_FULL,-0.13970336527818406,,r2,0.1241605281829834,,0.8833267688751221,0.003687143325805664,,0.013790607452392578,2,True,62
LightGBMXT_BAG_L2,-0.14558516815208455,-0.15285346964987023,r2,0.16153812408447266,0.4502701759338379,6.026901006698608,0.005789756774902344,0.05919146537780762,1.2318658828735352,2,True,15
LightGBMLarge_BAG_L2,-0.15671326620550907,-0.1502062908357027,r2,0.15883517265319824,0.44859933853149414,5.71190333366394,0.0030868053436279297,0.05752062797546387,0.9168682098388672,2,True,17
LightGBM_BAG_L2,-0.15882996666776084,-0.15445963489313286,r2,0.15879297256469727,0.4381530284881592,5.66457462310791,0.003044605255126953,0.047074317932128906,0.8695394992828369,2,True,16
CatBoostDeep_BAG_L1_FULL,-0.1665352768716768,,r2,0.009517669677734375,,0.11890482902526855,0.009517669677734375,,0.11890482902526855,1,True,47
LightGBMXT_BAG_L1,-0.1707955989791996,-0.1406199025547521,r2,0.0037467479705810547,0.05387401580810547,0.7306036949157715,0.0037467479705810547,0.05387401580810547,0.7306036949157715,1,True,3
ExtraTreesMSE_BAG_L1_FULL,-0.17095493286100827,,r2,0.04736948013305664,,0.3379836082458496,0.04736948013305664,,0.3379836082458496,1,True,48
CatBoostDeep_BAG_L1,-0.18226602927392288,-0.1487161574818947,r2,0.00667119026184082,0.049135684967041016,2.0523815155029297,0.00667119026184082,0.049135684967041016,2.0523815155029297,1,True,9
XGBoostDense_BAG_L3_FULL,-0.1978855534236028,,r2,0.24954676628112793,,1.8521783351898193,0.028124570846557617,,0.016926050186157227,3,True,74
RandomForestMAE_BAG_L1_FULL,-0.20905739876470197,,r2,0.057805776596069336,,0.3417704105377197,0.057805776596069336,,0.3417704105377197,1,True,45
LinearModel_BAG_L1_FULL,-0.20976224779784336,,r2,0.0026934146881103516,,0.0072040557861328125,0.0026934146881103516,,0.0072040557861328125,1,True,51
LightGBMLarge_BAG_L1,-0.21463121783473804,-0.16690936435337278,r2,0.0030570030212402344,0.05599522590637207,0.9050178527832031,0.0030570030212402344,0.05599522590637207,0.9050178527832031,1,True,5
XGBoostDense_BAG_L1,-0.2177139492513973,-0.13591841309054953,r2,0.023127079010009766,0.09212994575500488,1.296586513519287,0.023127079010009766,0.09212994575500488,1.296586513519287,1,True,12
XGBoostDense_BAG_L2,-0.21988864298815303,-0.13102045465763035,r2,0.179884672164917,0.504314661026001,6.1097800731658936,0.02413630485534668,0.1132359504699707,1.3147449493408203,2,True,24
CatBoost_BAG_L2,-0.22092206554219906,-0.11275439349793626,r2,0.16601967811584473,0.4369215965270996,8.027570247650146,0.010271310806274414,0.045842885971069336,3.2325351238250732,2,True,20
XGBoost_BAG_L2,-0.22405691230447178,-0.14609200968866864,r2,0.184462308883667,0.4890620708465576,6.13629674911499,0.02871394157409668,0.09798336029052734,1.341261625289917,2,True,23
CatBoost_BAG_L1,-0.2245832688353886,-0.12577810154154578,r2,0.008247137069702148,0.04926943778991699,2.0610439777374268,0.008247137069702148,0.04926943778991699,2.0610439777374268,1,True,8
