model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
CatBoostDeep_BAG_L2_FULL,-0.043775516131705716,,r2,0.11555719375610352,,0.9832775592803955,0.00504302978515625,,0.14824414253234863,2,True,45
CatBoostDeep_BAG_L1_FULL,-0.047926121041231395,,r2,0.004622459411621094,,0.16141295433044434,0.004622459411621094,,0.16141295433044434,1,True,36
CatBoost_BAG_L1_FULL,-0.056668240448143115,,r2,0.016997098922729492,,0.5338916778564453,0.016997098922729492,,0.5338916778564453,1,True,35
WeightedEnsemble_L2_FULL,-0.0840890343765226,,r2,0.06588053703308105,,0.4984567165374756,0.015104293823242188,,0.02735304832458496,2,True,38
CatBoostDeep_BAG_L2,-0.15329052080372096,-0.15643876585428318,r2,0.1440267562866211,0.3319814205169678,5.275972843170166,0.018140077590942383,0.07091140747070312,1.6384360790252686,2,True,18
CatBoostDeep_BAG_L1,-0.15418176102946557,-0.15227011904123766,r2,0.0196073055267334,0.0670173168182373,2.1009068489074707,0.0196073055267334,0.0670173168182373,2.1009068489074707,1,True,9
ExtraTreesMSE_BAG_L1_FULL,-0.17285269400025238,,r2,0.05191779136657715,,0.31131625175476074,0.05191779136657715,,0.31131625175476074,1,True,37
LightGBM_BAG_L3_FULL,-0.17870950301749233,,r2,0.21780896186828613,,1.731762170791626,0.0037932395935058594,,0.04678082466125488,3,True,49
LightGBMLarge_BAG_L3_FULL,-0.18630876819080688,,r2,0.24381422996520996,,1.7313735485076904,0.029798507690429688,,0.046392202377319336,3,True,50
CatBoost_BAG_L1,-0.19830566873587885,-0.16006665597794068,r2,0.019484519958496094,0.07117414474487305,37.84182834625244,0.019484519958496094,0.07117414474487305,37.84182834625244,1,True,8
CatBoost_BAG_L3_FULL,-0.20197445878438836,,r2,0.24039483070373535,,3.4152746200561523,0.026379108428955078,,1.7302932739257812,3,True,53
WeightedEnsemble_L2,-0.22300259362883534,-0.11853006081827022,r2,0.06512117385864258,0.12641334533691406,2.4517829418182373,0.00266265869140625,0.0,0.02735304832458496,2,True,11
LightGBMXT_BAG_L1,-0.23029621404550915,-0.1685707803674099,r2,0.008744001388549805,0.06556868553161621,0.8591532707214355,0.008744001388549805,0.06556868553161621,0.8591532707214355,1,True,3
RandomForestMAE_BAG_L1_FULL,-0.2335531400591293,,r2,0.060813188552856445,,0.30655646324157715,0.060813188552856445,,0.30655646324157715,1,True,34
CatBoost_BAG_L2_FULL,-0.23974266281707513,,r2,0.13507342338562012,,3.6782472133636475,0.02455925941467285,,2.8432137966156006,2,True,44
LightGBMLarge_BAG_L1,-0.24889637862322744,-0.19633094334432744,r2,0.008823156356811523,0.06812095642089844,1.0193889141082764,0.008823156356811523,0.06812095642089844,1.0193889141082764,1,True,5
LightGBM_BAG_L1,-0.2576628183536638,-0.19845286416788843,r2,0.006104230880737305,0.06266951560974121,0.8765130043029785,0.006104230880737305,0.06266951560974121,0.8765130043029785,1,True,4
WeightedEnsemble_L3_FULL,-0.26160097141440897,,r2,0.17368173599243164,,1.312530517578125,0.010730504989624023,,0.021390914916992188,3,True,47
ExtraTreesMSE_BAG_L2_FULL,-0.26646847036085286,,r2,0.15954923629760742,,1.1489896774291992,0.049035072326660156,,0.31395626068115234,2,True,46
LightGBMLarge_BAG_L3,-0.26774343901387243,-0.08020758081874346,r2,0.2506377696990967,0.570281982421875,7.8855273723602295,0.007235050201416016,0.058107852935791016,0.7855207920074463,3,True,23
LightGBM_BAG_L3,-0.26876634035938474,-0.07794926934473123,r2,0.2519400119781494,0.5736472606658936,7.914505243301392,0.00853729248046875,0.06147313117980957,0.8144986629486084,3,True,22
WeightedEnsemble_L4_FULL,-0.271023229292475,,r2,0.21950984001159668,,1.759589672088623,0.0017008781433105469,,0.02782750129699707,4,True,54
RandomForestMSE_BAG_L1_FULL,-0.2771312756881821,,r2,0.04615378379821777,,0.3096907138824463,0.04615378379821777,,0.3096907138824463,1,True,33
LightGBMLarge_BAG_L2,-0.2779358985241882,-0.1379465424763644,r2,0.13709545135498047,0.333538293838501,4.857556581497192,0.011208772659301758,0.07246828079223633,1.220019817352295,2,True,14
CatBoost_BAG_L2,-0.2900333973689493,-0.17549002050150242,r2,0.1456596851348877,0.32178759574890137,33.18764781951904,0.019773006439208984,0.06071758270263672,29.550111055374146,2,True,17
LightGBMXT_BAG_L3,-0.30113972281466195,-0.1282967027699835,r2,0.2531414031982422,0.5713417530059814,7.914240598678589,0.009738683700561523,0.05916762351989746,0.8142340183258057,3,True,21
LightGBMXT_BAG_L1_FULL,-0.30701130514734243,,r2,0.0015215873718261719,,0.05055570602416992,0.0015215873718261719,,0.05055570602416992,1,True,30
WeightedEnsemble_L3,-0.30715306815692944,-0.06682990789933685,r2,0.18755865097045898,0.38561415672302246,5.602905035018921,0.0015702247619628906,0.0,0.021390914916992188,3,True,20
WeightedEnsemble_L4,-0.3238917555372738,-0.06275463732416231,r2,0.2519400119781494,0.5736472606658936,7.942332744598389,0.0,0.0,0.02782750129699707,4,True,27
RandomForestMAE_BAG_L2_FULL,-0.334008546389438,,r2,0.18480706214904785,,1.1443111896514893,0.07429289817810059,,0.3092777729034424,2,True,43
LightGBMXT_BAG_L2,-0.3454351023680149,-0.20975007396499956,r2,0.14150404930114746,0.33778858184814453,5.23099684715271,0.01561737060546875,0.07671856880187988,1.5934600830078125,2,True,12
CatBoost_BAG_L3,-0.3631316771027995,-0.1676296535104176,r2,0.26256418228149414,0.5765335559844971,20.676040410995483,0.019161462783813477,0.06435942649841309,13.5760338306427,3,True,26
RandomForestMAE_BAG_L2,-0.3653597041852015,-0.0940335253889173,r2,0.16907286643981934,0.31538939476013184,3.9448230266571045,0.043186187744140625,0.05431938171386719,0.30728626251220703,2,True,16
LightGBMXT_BAG_L3_FULL,-0.3761857475184005,,r2,0.24000310897827148,,1.7313547134399414,0.02598738670349121,,0.04637336730957031,3,True,48
LightGBMLarge_BAG_L1_FULL,-0.3872934678096349,,r2,0.01541447639465332,,0.060051918029785156,0.01541447639465332,,0.060051918029785156,1,True,32
LightGBM_BAG_L2,-0.3965060205693083,-0.19150594048517355,r2,0.1400308609008789,0.33735013008117676,4.841897010803223,0.014144182205200195,0.07628011703491211,1.2043602466583252,2,True,13
RandomForestMSE_BAG_L2_FULL,-0.39712768447427416,,r2,0.15790820121765137,,1.1428954601287842,0.0473940372467041,,0.3078620433807373,2,True,42
ExtraTreesMSE_BAG_L2,-0.41296182803456216,-0.2566540463748017,r2,0.17209219932556152,0.31516170501708984,3.936009407043457,0.04620552062988281,0.054091691970825195,0.29847264289855957,2,True,19
