zone,inc_mae,inc_rmse,inc_r2
K21,0.8347310754987929,1.0501115769592317,-0.03717464293042427
K22,1.0222412386220758,1.2499565363093659,-0.17397946119210594
K23,1.3293113273382187,1.5375692076760619,-0.8212149051641575
JPK,1.0980456079260028,1.281134362371317,-0.00760461851147487
RAMP,1.3985133230686189,1.5525943692825488,-0.40893639343496124
