stage,inc_mae,inc_rmse,inc_r2,cum_r2
A: 5 single-cycle lags,1.1160674036885785,1.3775291471709674,-0.29331441639268596,0.9211780523172654
B: +5 cumulative lags,1.2385007396949754,1.5534556927870475,-0.6447514077209693,0.8997594801640846
C: +3 dynamic indicators,1.105101529823869,1.3873222074413978,-0.31176851087140234,0.920053354679091
D: +interval/session (16-D),1.1180277931538443,1.3743214526608138,-0.28729824254079483,0.9215447122219207
E: +14 geological features (30-D),1.0664019774645568,1.3362636383072835,-0.21698948661184714,0.9258297283102181
