seed,inc_mae,inc_r2,cum_r2
2024,1.0654963623134444,-0.21472029611286358,0.9259680257052878
1,1.089489150599197,-0.2714282394281584,0.9225119206124048
2,1.0626490325379518,-0.18944541811465743,0.9275084207445844
3,1.062599654104503,-0.11622146497809038,0.9319711055566441
4,1.053410637360296,-0.12793063255622927,0.9312574821851312
5,1.1344254246757677,-0.3314223138654344,0.9188555399700559
6,1.0687495709523374,-0.16895278284220372,0.9287573586709333
7,1.1221768194142683,-0.271023229292475,0.9225366042371455
8,1.0530205050736299,-0.07914018357310759,0.9342310500727383
9,1.2687653279046953,-0.7355624358732598,0.8942249388187558
10,1.0528551388485932,-0.14073690345140477,0.9304769950880137
