model,tag,inc_r2,inc_mae,inc_rmse,cum_r2,cum_mae,cum_rmse
Persistence,session8,-1.3826746640516578,1.534567901234568,1.8697395342469298,0.8547862334677372,1.534567901234568,1.8697395342469298
RateExtrapolation,session8,-0.5965447001396149,1.260185185185185,1.5305209504177764,0.9026974715254834,1.260185185185185,1.5305209504177766
AR5_Ridge,session8,-0.8235541804442799,1.2894824175666377,1.6357166456388108,0.8888622206744435,1.2894824175666375,1.6357166456388108
