model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
CatBoostDeep_BAG_L1_FULL,-0.030568017830677308,,r2,0.0042650699615478516,,0.1642012596130371,0.0042650699615478516,,0.1642012596130371,1,True,36
CatBoostDeep_BAG_L2_FULL,-0.03674633964992746,,r2,0.13759732246398926,,0.9216258525848389,0.029349088668823242,,0.10804891586303711,2,True,45
WeightedEnsemble_L2_FULL,-0.0749789760377857,,r2,0.06460928916931152,,0.5397696495056152,0.011173725128173828,,0.02555108070373535,2,True,38
LightGBMXT_BAG_L1_FULL,-0.11466302827453534,,r2,0.0020627975463867188,,0.043235063552856445,0.0020627975463867188,,0.043235063552856445,1,True,30
CatBoostDeep_BAG_L2,-0.1546101911056459,-0.16176028714786805,r2,0.1293506622314453,0.3278028964996338,4.782419681549072,0.018407344818115234,0.07206201553344727,1.2018706798553467,2,True,18
CatBoost_BAG_L1_FULL,-0.15648112240927237,,r2,0.017304182052612305,,2.0741214752197266,0.017304182052612305,,2.0741214752197266,1,True,35
CatBoostDeep_BAG_L1,-0.16428097159255306,-0.1544066772500441,r2,0.020003318786621094,0.06757354736328125,2.110131025314331,0.020003318786621094,0.06757354736328125,2.110131025314331,1,True,9
LightGBMXT_BAG_L1,-0.18257111457448394,-0.1509642222815355,r2,0.00785064697265625,0.0650033950805664,0.8021976947784424,0.00785064697265625,0.0650033950805664,0.8021976947784424,1,True,3
LightGBM_BAG_L3,-0.19497263946749888,-0.09137192387637261,r2,0.24136853218078613,0.5651378631591797,30.60234761238098,0.007398843765258789,0.06200122833251953,0.7740781307220459,3,True,22
LightGBMLarge_BAG_L3,-0.19587456304809314,-0.09095947984130359,r2,0.24124670028686523,0.5649154186248779,30.67328190803528,0.007277011871337891,0.06177878379821777,0.8450124263763428,3,True,23
CatBoost_BAG_L2,-0.1966041932658007,-0.12812676587134497,r2,0.13197898864746094,0.3150303363800049,26.517561435699463,0.02103567123413086,0.05928945541381836,22.937012434005737,2,True,17
ExtraTreesMSE_BAG_L1_FULL,-0.20011100134682813,,r2,0.04901385307312012,,0.2978172302246094,0.04901385307312012,,0.2978172302246094,1,True,37
WeightedEnsemble_L4,-0.20182141360635164,-0.05444655327036774,r2,0.24227213859558105,0.5649154186248779,30.699512243270874,0.0010254383087158203,0.0,0.026230335235595703,4,True,27
WeightedEnsemble_L3,-0.20951400232444395,-0.061893830789569115,r2,0.1797783374786377,0.3707585334777832,26.837878465652466,0.0016045570373535156,0.0,0.02145862579345703,3,True,20
LightGBM_BAG_L3_FULL,-0.2338917649897334,,r2,0.2390127182006836,,4.3858642578125,0.02472996711730957,,0.04552102088928223,3,True,49
RandomForestMSE_BAG_L1_FULL,-0.23770643068390873,,r2,0.05810260772705078,,0.31276583671569824,0.05810260772705078,,0.31276583671569824,1,True,33
WeightedEnsemble_L2,-0.24118131290573408,-0.10553583707239422,r2,0.07190084457397461,0.18814635276794434,3.2470791339874268,0.0021848678588867188,0.001537322998046875,0.02555108070373535,2,True,11
RandomForestMAE_BAG_L1_FULL,-0.24253583625663677,,r2,0.047107696533203125,,0.30678224563598633,0.047107696533203125,,0.30678224563598633,1,True,34
LightGBMLarge_BAG_L3_FULL,-0.24275500724126298,,r2,0.2163691520690918,,4.388518571853638,0.0020864009857177734,,0.04817533493041992,3,True,50
LightGBMLarge_BAG_L1,-0.24889637862322744,-0.19633094334432744,r2,0.006769657135009766,0.06330704689025879,0.9290387630462646,0.006769657135009766,0.06330704689025879,0.9290387630462646,1,True,5
RandomForestMSE_BAG_L2,-0.2512135499029893,-0.12283675749037615,r2,0.1533493995666504,0.3130531311035156,3.8781840801239014,0.04240608215332031,0.0573122501373291,0.2976350784301758,2,True,15
LightGBM_BAG_L1,-0.2576628183536638,-0.19845286416788843,r2,0.008414268493652344,0.06493139266967773,0.9300103187561035,0.008414268493652344,0.06493139266967773,0.9300103187561035,1,True,4
CatBoost_BAG_L3,-0.2607309213080322,-0.13945661468291015,r2,0.25386810302734375,0.5683865547180176,43.38275384902954,0.019898414611816406,0.06524991989135742,13.554484367370605,3,True,26
CatBoost_BAG_L1,-0.264518387140241,-0.16315270289824735,r2,0.018868207931518555,0.05915498733520508,37.9183669090271,0.018868207931518555,0.05915498733520508,37.9183669090271,1,True,8
CatBoost_BAG_L3_FULL,-0.26650349078195457,,r2,0.24066662788391113,,6.062158107757568,0.02638387680053711,,1.7218148708343506,3,True,53
RandomForestMAE_BAG_L2,-0.2753827993734379,-0.07384348778762173,r2,0.15713810920715332,0.31146907806396484,3.8794074058532715,0.04619479179382324,0.05572819709777832,0.2988584041595459,2,True,16
ExtraTreesMSE_BAG_L2_FULL,-0.2763449771919513,,r2,0.15667009353637695,,1.1206486225128174,0.04842185974121094,,0.3070716857910156,2,True,46
LightGBMXT_BAG_L3,-0.29694900671098656,-0.10873956918757699,r2,0.2428436279296875,0.5668227672576904,30.668823957443237,0.008873939514160156,0.06368613243103027,0.8405544757843018,3,True,21
LightGBMLarge_BAG_L2,-0.3128115164063838,-0.2658356184253099,r2,0.12869834899902344,0.3326888084411621,6.293211460113525,0.01775503158569336,0.07694792747497559,2.7126624584198,2,True,14
CatBoost_BAG_L2_FULL,-0.3244856420555229,,r2,0.11353492736816406,,3.526193618774414,0.005286693572998047,,2.7126166820526123,2,True,44
WeightedEnsemble_L4_FULL,-0.3314223138654344,,r2,0.2174069881439209,,4.414748907089233,0.0010378360748291016,,0.026230335235595703,4,True,54
ExtraTreesMSE_BAG_L2,-0.33376134458266393,-0.1775076774048605,r2,0.14898419380187988,0.3111710548400879,3.8797361850738525,0.038040876388549805,0.05543017387390137,0.29918718338012695,2,True,19
WeightedEnsemble_L3_FULL,-0.3808401529807848,,r2,0.1717832088470459,,3.860245704650879,0.011139154434204102,,0.02145862579345703,3,True,47
LightGBMLarge_BAG_L1_FULL,-0.3872934678096349,,r2,0.015677213668823242,,0.055906057357788086,0.015677213668823242,,0.055906057357788086,1,True,32
LightGBM_BAG_L2,-0.40217722686530544,-0.3498151310061972,r2,0.1287386417388916,0.33676862716674805,5.608893871307373,0.017795324325561523,0.08102774620056152,2.0283448696136475,2,True,13
LightGBMXT_BAG_L2,-0.41979893468147256,-0.41266613895246285,r2,0.14152312278747559,0.34169578552246094,9.332175493240356,0.030579805374145508,0.08595490455627441,5.751626491546631,2,True,12
LightGBM_BAG_L1_FULL,-0.42821288008312797,,r2,0.016747474670410156,,0.052498817443847656,0.016747474670410156,,0.052498817443847656,1,True,31
RandomForestMAE_BAG_L2_FULL,-0.42834052154200863,,r2,0.15535736083984375,,1.1261703968048096,0.047109127044677734,,0.3125934600830078,2,True,43
RandomForestMAE_BAG_L3_FULL,-0.4293341320987587,,r2,0.29091715812683105,,4.641396999359131,0.07663440704345703,,0.3010537624359131,3,True,52
KNeighborsDist_BAG_L1_FULL,-0.43236039708303253,,r2,0.019359350204467773,,0.0015358924865722656,0.019359350204467773,,0.0015358924865722656,1,True,29
KNeighborsUnif_BAG_L1_FULL,-0.43922402020827467,,r2,0.005798816680908203,,0.0015411376953125,0.005798816680908203,,0.0015411376953125,1,True,28
RandomForestMSE_BAG_L3_FULL,-0.46960918553876674,,r2,0.28546571731567383,,4.65999436378479,0.0711829662322998,,0.31965112686157227,3,True,51
RandomForestMSE_BAG_L2_FULL,-0.4727852037622162,,r2,0.1836693286895752,,1.119701862335205,0.07542109489440918,,0.3061249256134033,2,True,42
LightGBMXT_BAG_L3_FULL,-0.5046427852175783,,r2,0.2426767349243164,,4.390605211257935,0.028393983840942383,,0.0502619743347168,3,True,48
RandomForestMSE_BAG_L1,-0.5672968143883961,-0.27893036380910763,r2,0.044069766998291016,0.05583643913269043,0.325702428817749,0.044069766998291016,0.05583643913269043,0.325702428817749,1,True,6
RandomForestMAE_BAG_L1,-0.5973165973620091,-0.25907236967479763,r2,0.04186201095581055,0.054032087326049805,0.30919933319091797,0.04186201095581055,0.054032087326049805,0.30919933319091797,1,True,7
ExtraTreesMSE_BAG_L1,-0.6127846867686606,-0.405777673358767,r2,0.034984588623046875,0.054921627044677734,0.29774022102355957,0.034984588623046875,0.054921627044677734,0.29774022102355957,1,True,10
RandomForestMAE_BAG_L3,-0.6234703726838284,-0.33202309433985144,r2,0.27791643142700195,0.5551126003265381,30.138458013534546,0.04394674301147461,0.05197596549987793,0.31018853187561035,3,True,25
RandomForestMSE_BAG_L3,-0.6267986454756009,-0.28542401570250675,r2,0.27846765518188477,0.5569286346435547,30.121046781539917,0.04449796676635742,0.05379199981689453,0.29277729988098145,3,True,24
KNeighborsUnif_BAG_L1,-0.9651373731895831,-0.5671208586930157,r2,0.0062427520751953125,0.014210224151611328,0.06128072738647461,0.0062427520751953125,0.014210224151611328,0.06128072738647461,1,True,1
KNeighborsDist_BAG_L1,-0.9730192027783611,-0.5953010486651558,r2,0.008448600769042969,0.017832517623901367,0.0016031265258789062,0.008448600769042969,0.017832517623901367,0.0016031265258789062,1,True,2
LightGBMLarge_BAG_L2_FULL,-1.8709267533875344,,r2,0.1134650707244873,,1.008061408996582,0.005216836929321289,,0.19448447227478027,2,True,41
LightGBM_BAG_L2_FULL,-1.9255788777893446,,r2,0.14187121391296387,,0.9620616436004639,0.03362298011779785,,0.1484847068786621,2,True,40
LightGBMXT_BAG_L2_FULL,-2.8581491958983603,,r2,0.13929986953735352,,1.2541675567626953,0.0310516357421875,,0.44059062004089355,2,True,39
