model,inc_mae,inc_rmse,inc_r2,cum_r2
Persistence,1.534567901234568,1.8697395342469296,-1.3826746640516578,0.8547862334677372
Rate extrapolation,1.260185185185185,1.5305209504177764,-0.5965447001396149,0.9026974715254834
AR(5) ridge,1.2894824175666375,1.6357166456388108,-0.8235541804442799,0.8888622206744435
AutoGluon temporal (16-D),1.1180277931538443,1.3743214526608138,-0.28729824254079483,0.9215447122219207
"AutoGluon temporal+geo (30-D, proposed)",1.0654963623134444,1.3350172628960788,-0.21472029611286358,0.9259680257052878
Best single learner (CatBoostDeep_BAG_L2_FULL),1.0358520384188052,1.2268029024784626,-0.025775009868152843,0.937483427744043
